Language Task Size Select_interval Select_size Actual_duration Model Metric Value Method
Bemba asr 15 15 345 357.87 wav2vec2-large-xlsr-53 cer 0.08100472224838219 al
Bemba asr 15 15 360 372.77 wav2vec2-large-xlsr-53 wer 0.44422736153391795 al
Bemba asr 15 15 360 372.77 wav2vec2-large-xlsr-53 cer 0.08051366223143053 al
Bemba asr 15 15 375 387.76 wav2vec2-large-xlsr-53 wer 0.38765959380253534 al
Bemba asr 15 15 375 387.76 wav2vec2-large-xlsr-53 cer 0.06878876347051621 al
Bemba asr 15 15 390 402.69 wav2vec2-large-xlsr-53 wer 0.4776227906765414 al
Bemba asr 15 15 390 402.69 wav2vec2-large-xlsr-53 cer 0.08856570113952832 al
Bemba asr 15 15 405 417.65 wav2vec2-large-xlsr-53 wer 0.4313235494570403 al
Bemba asr 15 15 405 417.65 wav2vec2-large-xlsr-53 cer 0.07934991725975057 al
Bemba asr 15 15 420 432.57 wav2vec2-large-xlsr-53 wer 0.38584215548184836 al
Bemba asr 15 15 420 432.57 wav2vec2-large-xlsr-53 cer 0.06880894401915806 al
Bemba asr 15 15 435 447.5 wav2vec2-large-xlsr-53 wer 0.4111045481393975 al
Bemba asr 15 15 435 447.5 wav2vec2-large-xlsr-53 cer 0.07383390063097849 al
Bemba asr 15 15 450 462.44 wav2vec2-large-xlsr-53 wer 0.3897496478713254 al
Bemba asr 15 15 450 462.44 wav2vec2-large-xlsr-53 cer 0.07080009148515384 al
Bemba asr 15 15 465 477.35 wav2vec2-large-xlsr-53 wer 0.4154664001090463 al
Bemba asr 15 15 465 477.35 wav2vec2-large-xlsr-53 cer 0.07597303878701449 al
Bemba asr 15 15 480 492.35 wav2vec2-large-xlsr-53 wer 0.34962969694216 al
Bemba asr 15 15 480 492.35 wav2vec2-large-xlsr-53 cer 0.061671756649490775 al
Bemba asr 15 15 495 507.28 wav2vec2-large-xlsr-53 wer 0.37125721295833525 al
Bemba asr 15 15 495 507.28 wav2vec2-large-xlsr-53 cer 0.06712723163233732 al
Bemba asr 15 15 510 522.24 wav2vec2-large-xlsr-53 wer 0.4327320641555727 al
Bemba asr 15 15 510 522.24 wav2vec2-large-xlsr-53 cer 0.07814581119078691 al
Bemba asr 15 15 525 537.21 wav2vec2-large-xlsr-53 wer 0.35935299195783543 al
Bemba asr 15 15 525 537.21 wav2vec2-large-xlsr-53 cer 0.06466520469803172 al
Bemba asr 15 15 540 552.18 wav2vec2-large-xlsr-53 wer 0.32055068381116814 al
Bemba asr 15 15 540 552.18 wav2vec2-large-xlsr-53 cer 0.05697641566548722 al
Bemba asr 15 15 555 567.13 wav2vec2-large-xlsr-53 wer 0.3375891680676087 al
Bemba asr 15 15 555 567.13 wav2vec2-large-xlsr-53 cer 0.06011112755452112 al
Bemba asr 15 15 570 582.1 wav2vec2-large-xlsr-53 wer 0.3963378617838157 al
Bemba asr 15 15 570 582.1 wav2vec2-large-xlsr-53 cer 0.0718898411118137 al
Bemba asr 15 15 585 596.98 wav2vec2-large-xlsr-53 wer 0.3677132082329956 al
Bemba asr 15 15 585 596.98 wav2vec2-large-xlsr-53 cer 0.0665756299694601 al
Bemba asr 15 15 600 611.88 wav2vec2-large-xlsr-53 wer 0.39847335181062293 al
Bemba asr 15 15 600 611.88 wav2vec2-large-xlsr-53 cer 0.07324193787081758 al
Bemba asr 15 15 615 626.88 wav2vec2-large-xlsr-53 wer 0.32159571084556315 al
Bemba asr 15 15 615 626.88 wav2vec2-large-xlsr-53 cer 0.05711767950598017 al
Bemba asr 15 15 630 641.75 wav2vec2-large-xlsr-53 wer 0.47735017492843834 al
Bemba asr 15 15 630 641.75 wav2vec2-large-xlsr-53 cer 0.08947382582841153 al
Bemba asr 15 15 645 656.69 wav2vec2-large-xlsr-53 wer 0.3931573447226135 al
Bemba asr 15 15 645 656.69 wav2vec2-large-xlsr-53 cer 0.07012067968087826 al
Bemba asr 15 15 660 671.64 wav2vec2-large-xlsr-53 wer 0.2725703121450316 al
Bemba asr 15 15 660 671.64 wav2vec2-large-xlsr-53 cer 0.04855440003228888 al
Bemba asr 15 15 675 686.59 wav2vec2-large-xlsr-53 wer 0.3899313917033941 al
Bemba asr 15 15 675 686.59 wav2vec2-large-xlsr-53 cer 0.07127769780301094 al
Bemba asr 15 15 690 701.53 wav2vec2-large-xlsr-53 wer 0.3210050433913399 al
Bemba asr 15 15 690 701.53 wav2vec2-large-xlsr-53 cer 0.05763564692112096 al
Bemba asr 15 15 705 716.44 wav2vec2-large-xlsr-53 wer 0.3409968649188968 al
Bemba asr 15 15 705 716.44 wav2vec2-large-xlsr-53 cer 0.06120760403072825 al
Bemba asr 15 15 720 731.29 wav2vec2-large-xlsr-53 wer 0.32868372029624243 al
Bemba asr 15 15 720 731.29 wav2vec2-large-xlsr-53 cer 0.05882629929099006 al
Bemba asr 15 15 735 746.22 wav2vec2-large-xlsr-53 wer 0.305965741287655 al
Bemba asr 15 15 735 746.22 wav2vec2-large-xlsr-53 cer 0.05513998573907896 al
Bemba asr 15 15 750 761.16 wav2vec2-large-xlsr-53 wer 0.3003316824935254 al
Bemba asr 15 15 750 761.16 wav2vec2-large-xlsr-53 cer 0.054312583244763145 al
Bemba asr 15 15 765 776.08 wav2vec2-large-xlsr-53 wer 0.2806124767140715 al
Bemba asr 15 15 765 776.08 wav2vec2-large-xlsr-53 cer 0.050437917905528123 al
Bemba asr 15 15 780 791.07 wav2vec2-large-xlsr-53 wer 0.2978327048025808 al
Bemba asr 15 15 780 791.07 wav2vec2-large-xlsr-53 cer 0.053525541847731034 al
Bemba asr 15 15 795 806.06 wav2vec2-large-xlsr-53 wer 0.2939252124131037 al
Bemba asr 15 15 795 806.06 wav2vec2-large-xlsr-53 cer 0.05290667168938099 al
Bemba asr 15 15 810 821.03 wav2vec2-large-xlsr-53 wer 0.32454904811667956 al
Bemba asr 15 15 810 821.03 wav2vec2-large-xlsr-53 cer 0.059169368617901494 al
Bemba asr 15 15 825 836.02 wav2vec2-large-xlsr-53 wer 0.3140987777727293 al
Bemba asr 15 15 825 836.02 wav2vec2-large-xlsr-53 cer 0.057420387735607904 al
Bemba asr 15 15 840 850.96 wav2vec2-large-xlsr-53 wer 0.27725021582080056 al
Bemba asr 15 15 840 850.96 wav2vec2-large-xlsr-53 cer 0.04961724226075959 al
Bemba asr 15 15 855 865.94 wav2vec2-large-xlsr-53 wer 0.3393157344722613 al
Bemba asr 15 15 855 865.94 wav2vec2-large-xlsr-53 cer 0.061308506773937496 al
Bemba asr 15 15 870 880.85 wav2vec2-large-xlsr-53 wer 0.2831114544050161 al
Bemba asr 15 15 870 880.85 wav2vec2-large-xlsr-53 cer 0.05117114450618197 al
Bemba asr 15 15 885 895.82 wav2vec2-large-xlsr-53 wer 0.2775682675269208 al
Bemba asr 15 15 885 895.82 wav2vec2-large-xlsr-53 cer 0.050041033782238425 al
Bemba asr 15 15 900 910.75 wav2vec2-large-xlsr-53 wer 0.2923803898405198 al
Bemba asr 15 15 900 910.75 wav2vec2-large-xlsr-53 cer 0.05262414400839511 al
Bemba asr 15 15 915 925.7 wav2vec2-large-xlsr-53 wer 0.2762960607024399 al
Bemba asr 15 15 915 925.7 wav2vec2-large-xlsr-53 cer 0.05028320036594062 al
Bemba asr 15 15 930 940.59 wav2vec2-large-xlsr-53 wer 0.3071016402380844 al
Bemba asr 15 15 930 940.59 wav2vec2-large-xlsr-53 cer 0.055146712588626245 al
Bemba asr 15 15 945 955.49 wav2vec2-large-xlsr-53 wer 0.29569721477577354 al
Bemba asr 15 15 945 955.49 wav2vec2-large-xlsr-53 cer 0.05374752788279137 al
Bemba asr 15 15 960 970.38 wav2vec2-large-xlsr-53 wer 0.2501249488845472 al
Bemba asr 15 15 960 970.38 wav2vec2-large-xlsr-53 cer 0.04554749828465336 al
